J2000_name,Julian_date,Q/I_inst,err_Q/I_inst,U/I_inst,err_U/I_inst,Q/I,err_Q/I,U/I,err_U/I,PD[%],err_PD[%],EVPA[deg],err_EVPA[deg]
RBPLJ0006-0623,2456549.5353,0.066,0.006,-0.124,0.006,0.063,0.008,-0.126,0.007,14.1,0.7,-31.8,1.4
RBPLJ0006-0623,2456572.4417,0.204,0.009,-0.002,0.009,0.205,0.009,-0.009,0.012,20.5,0.9,-1.3,1.3
RBPLJ0006-0623,2456589.3694,0.287,0.011,-0.091,0.009,0.285,0.012,-0.102,0.014,30.3,1.2,-9.8,1.1
RBPLJ0006-0623,2456593.4344,0.308,0.010,-0.128,0.009,0.304,0.011,-0.139,0.014,33.5,1.2,-12.3,1.0
RBPLJ0006-0623,2456599.3857,0.310,0.004,-0.146,0.004,0.306,0.008,-0.157,0.012,34.4,0.9,-13.6,0.7
RBPLJ0006-0623,2456607.4034,0.300,0.013,-0.113,0.012,0.297,0.014,-0.124,0.016,32.2,1.4,-11.3,1.3
RBPLJ0006-0623,2456854.5770,0.023,0.012,0.029,0.012,0.025,0.012,0.028,0.012,3.8,1.2,23.8,9.7
RBPLJ0006-0623,2456872.5480,0.225,0.006,-0.113,0.006,0.222,0.007,-0.121,0.010,25.3,0.8,-14.3,0.9
RBPLJ0006-0623,2456878.6066,0.231,0.016,-0.120,0.016,0.228,0.017,-0.128,0.018,26.1,1.7,-14.7,1.9
RBPLJ0006-0623,2456885.4588,0.185,0.023,-0.055,0.021,0.184,0.023,-0.062,0.022,19.4,2.3,-9.2,3.4
RBPLJ0006-0623,2456897.5064,0.256,0.009,-0.076,0.009,0.254,0.009,-0.085,0.013,26.8,1.0,-9.2,1.1
RBPLJ0006-0623,2456905.5209,0.173,0.005,-0.144,0.004,0.169,0.008,-0.150,0.007,22.6,0.8,-20.8,1.0
RBPLJ0006-0623,2456913.5018,0.135,0.008,-0.119,0.007,0.132,0.009,-0.124,0.009,18.1,0.9,-21.6,1.4
RBPLJ0006-0623,2456942.3978,-0.031,0.008,-0.088,0.008,-0.033,0.008,-0.086,0.008,9.2,0.8,-55.5,2.4
RBPLJ0006-0623,2456951.4799,0.016,0.005,-0.071,0.005,0.015,0.006,-0.071,0.005,7.2,0.5,-39.1,2.0
RBPLJ0017+8135,2456467.4390,-0.001,0.003,0.005,0.002,0.001,0.004,0.005,0.003,0.5,0.3,40.1,18.1
RBPLJ0017+8135,2456592.4316,-0.010,0.004,-0.005,0.004,-0.008,0.004,-0.005,0.004,0.9,0.4,-75.8,14.3
RBPLJ0017+8135,2456595.4455,-0.007,0.004,-0.002,0.004,-0.006,0.004,-0.001,0.004,0.6,0.4,-84.1,25.2
RBPLJ0017+8135,2456606.3833,-0.003,0.003,0.002,0.003,-0.002,0.003,0.003,0.003,0.3,0.3,62.4,35.4
RBPLJ0017+8135,2456853.5826,-0.002,0.004,0.001,0.004,0.000,0.004,0.001,0.004,0.1,0.4,56.1,56.5
RBPLJ0017+8135,2456869.5887,-0.010,0.003,-0.004,0.004,-0.008,0.004,-0.003,0.004,0.9,0.4,-78.5,13.3
RBPLJ0017+8135,2456878.5840,-0.009,0.004,0.001,0.004,-0.008,0.004,0.002,0.004,0.8,0.4,83.5,16.7
RBPLJ0017+8135,2456882.5506,-0.007,0.004,-0.005,0.004,-0.006,0.004,-0.004,0.004,0.7,0.4,-73.3,22.3
RBPLJ0017+8135,2456897.5333,-0.004,0.004,-0.001,0.004,-0.002,0.004,0.000,0.004,0.2,0.4,-84.2,50.5
RBPLJ0017+8135,2456902.5180,-0.006,0.004,0.006,0.004,-0.004,0.004,0.006,0.004,0.7,0.4,60.9,21.4
RBPLJ0017+8135,2456912.5713,-0.008,0.004,-0.003,0.005,-0.007,0.005,-0.003,0.005,0.8,0.5,-79.7,22.3
RBPLJ0017+8135,2456921.5600,-0.001,0.004,0.002,0.004,0.001,0.004,0.003,0.004,0.3,0.4,37.3,46.7
RBPLJ0017+8135,2456942.4135,-0.016,0.005,-0.012,0.005,-0.015,0.005,-0.011,0.005,1.8,0.5,-71.3,8.3
RBPLJ0017+8135,2457237.5660,-0.010,0.004,-0.010,0.004,-0.009,0.005,-0.010,0.005,1.3,0.5,-66.8,10.6
RBPLJ0017+8135,2457251.5066,-0.011,0.003,-0.002,0.003,-0.010,0.004,-0.002,0.003,1.0,0.4,-85.0,11.6
RBPLJ0017+8135,2457255.6111,-0.009,0.004,-0.003,0.004,-0.008,0.005,-0.002,0.004,0.8,0.5,-81.6,20.3
RBPLJ0017+8135,2457262.5549,-0.004,0.004,-0.002,0.004,-0.002,0.004,-0.002,0.004,0.3,0.4,-72.6,47.3
RBPLJ0017+8135,2457263.6098,0.002,0.004,-0.021,0.005,0.003,0.005,-0.021,0.005,2.1,0.5,-41.2,6.4
RBPLJ0017+8135,2457282.4749,-0.010,0.005,-0.017,0.005,-0.009,0.005,-0.016,0.005,1.8,0.5,-59.6,8.8
RBPLJ0017+8135,2457285.5204,-0.012,0.004,-0.012,0.004,-0.011,0.004,-0.012,0.004,1.6,0.4,-66.3,7.9
RBPLJ0017+8135,2457300.4825,-0.004,0.003,-0.002,0.003,-0.002,0.003,-0.002,0.003,0.3,0.3,-72.7,40.4
RBPLJ0017+8135,2457305.4442,-0.009,0.004,0.003,0.004,-0.007,0.004,0.004,0.004,0.8,0.4,76.5,16.5
RBPLJ0017+8135,2457311.4427,-0.002,0.003,0.005,0.003,0.000,0.003,0.006,0.003,0.6,0.3,45.0,20.5
RBPLJ0017+8135,2457312.4954,-0.014,0.005,0.001,0.005,-0.013,0.005,0.002,0.005,1.3,0.5,84.8,12.4
RBPLJ0017+8135,2457330.3739,0.004,0.004,0.001,0.005,0.005,0.005,0.001,0.005,0.5,0.5,4.8,33.7
RBPLJ0017+8135,2457331.3731,0.000,0.004,0.000,0.004,0.002,0.004,0.001,0.004,0.2,0.4,9.6,53.5
RBPLJ0017+8135,2457332.3619,-0.003,0.004,0.002,0.004,-0.001,0.004,0.002,0.004,0.3,0.4,59.4,48.6
RBPLJ0017+8135,2457333.4094,-0.010,0.004,-0.004,0.004,-0.009,0.004,-0.003,0.004,1.0,0.4,-81.6,14.0
RBPLJ0017+8135,2457346.3439,-0.012,0.004,-0.003,0.003,-0.010,0.004,-0.002,0.004,1.1,0.4,-83.7,11.5
RBPLJ0017+8135,2457350.2815,0.005,0.004,0.001,0.005,0.007,0.004,0.001,0.005,0.7,0.4,2.8,23.0
RBPLJ0035+5950,2456549.5561,-0.021,0.007,0.038,0.007,-0.018,0.007,0.039,0.007,4.3,0.7,57.7,4.8
RBPLJ0035+5950,2456572.5917,-0.015,0.005,0.044,0.005,-0.012,0.005,0.044,0.005,4.6,0.5,52.7,3.2
RBPLJ0035+5950,2456580.4392,-0.004,0.006,0.015,0.006,-0.002,0.006,0.016,0.006,1.6,0.6,48.0,11.3
RBPLJ0035+5950,2456588.4961,0.005,0.005,0.025,0.005,0.008,0.006,0.025,0.005,2.6,0.6,36.5,6.1
RBPLJ0035+5950,2456592.4493,-0.024,0.005,0.018,0.005,-0.022,0.005,0.019,0.005,2.9,0.5,69.7,5.1
RBPLJ0045+2127,2456523.6041,-0.099,0.004,-0.002,0.003,-0.097,0.004,0.002,0.005,9.7,0.4,89.3,1.1
RBPLJ0045+2127,2456525.5656,-0.077,0.006,0.009,0.005,-0.075,0.006,0.012,0.006,7.6,0.6,85.4,2.3
RBPLJ0045+2127,2456531.5763,-0.085,0.003,-0.002,0.003,-0.083,0.003,0.001,0.004,8.3,0.3,89.5,1.1
RBPLJ0045+2127,2456531.6093,-0.087,0.003,-0.007,0.003,-0.085,0.004,-0.003,0.005,8.5,0.4,-89.0,1.2
RBPLJ0045+2127,2456537.5293,-0.071,0.003,-0.026,0.003,-0.070,0.003,-0.023,0.004,7.4,0.3,-80.8,1.4
RBPLJ0045+2127,2456542.5861,-0.065,0.003,-0.033,0.003,-0.065,0.003,-0.030,0.004,7.2,0.3,-77.6,1.4
RBPLJ0045+2127,2456547.5567,-0.077,0.003,-0.029,0.003,-0.076,0.004,-0.025,0.004,8.0,0.4,-80.8,1.3
RBPLJ0045+2127,2456572.4663,-0.093,0.003,-0.011,0.003,-0.092,0.003,-0.007,0.005,9.2,0.3,-87.8,1.1
RBPLJ0045+2127,2456580.4588,-0.073,0.004,-0.040,0.004,-0.073,0.005,-0.036,0.005,8.1,0.5,-76.7,1.6
RBPLJ0045+2127,2456587.5017,-0.067,0.004,-0.040,0.004,-0.067,0.004,-0.037,0.005,7.7,0.4,-75.5,1.6
RBPLJ0045+2127,2456590.5225,-0.077,0.004,-0.042,0.004,-0.077,0.004,-0.038,0.005,8.6,0.4,-76.8,1.4
RBPLJ0045+2127,2456593.4191,-0.081,0.003,-0.026,0.003,-0.081,0.004,-0.022,0.005,8.4,0.4,-82.2,1.3
RBPLJ0045+2127,2456596.4987,-0.084,0.004,-0.029,0.004,-0.083,0.004,-0.026,0.005,8.7,0.5,-81.4,1.5
RBPLJ0045+2127,2456601.4737,-0.101,0.004,-0.027,0.004,-0.100,0.004,-0.023,0.006,10.3,0.4,-83.6,1.2
RBPLJ0045+2127,2456605.3877,-0.083,0.004,-0.037,0.004,-0.083,0.004,-0.034,0.005,9.0,0.5,-79.0,1.5
RBPLJ0045+2127,2456854.5442,-0.028,0.004,-0.016,0.004,-0.028,0.004,-0.014,0.004,3.1,0.4,-76.3,3.6
RBPLJ0045+2127,2456872.5631,-0.046,0.004,-0.013,0.003,-0.045,0.004,-0.011,0.004,4.7,0.4,-83.2,2.4
RBPLJ0045+2127,2456881.5473,-0.051,0.004,0.000,0.004,-0.050,0.005,0.002,0.005,5.0,0.5,88.8,2.6
RBPLJ0045+2127,2456883.5876,-0.034,0.005,0.016,0.005,-0.032,0.005,0.018,0.005,3.6,0.6,75.3,4.4
RBPLJ0045+2127,2456897.5195,-0.076,0.004,-0.008,0.003,-0.075,0.004,-0.004,0.004,7.5,0.4,-88.3,1.5
RBPLJ0045+2127,2456901.5279,-0.075,0.006,0.009,0.007,-0.073,0.007,0.012,0.007,7.4,0.7,85.3,2.6
RBPLJ0045+2127,2456912.6301,-0.062,0.008,-0.020,0.008,-0.061,0.008,-0.017,0.008,6.3,0.8,-82.1,3.7
RBPLJ0045+2127,2456921.5729,-0.046,0.006,0.005,0.006,-0.044,0.006,0.007,0.006,4.4,0.6,85.4,4.0
RBPLJ0045+2127,2456946.4752,-0.042,0.006,0.013,0.005,-0.039,0.006,0.015,0.006,4.2,0.6,79.4,4.0
RBPLJ0045+2127,2456980.3110,-0.055,0.011,0.030,0.012,-0.053,0.011,0.032,0.012,6.2,1.1,74.3,5.4
RBPLJ0045+2127,2457237.5976,0.093,0.007,-0.051,0.007,0.093,0.007,-0.054,0.008,10.7,0.8,-15.2,2.0
RBPLJ0045+2127,2457245.6041,0.010,0.004,-0.033,0.004,0.010,0.005,-0.033,0.004,3.5,0.4,-36.3,3.4
RBPLJ0045+2127,2457252.5784,0.001,0.005,0.002,0.005,0.003,0.005,0.002,0.005,0.3,0.5,17.8,47.5
RBPLJ0045+2127,2457262.5692,-0.017,0.003,-0.026,0.003,-0.016,0.004,-0.025,0.003,3.0,0.3,-61.5,3.4
RBPLJ0045+2127,2457265.5317,0.027,0.006,-0.011,0.005,0.028,0.006,-0.011,0.005,3.0,0.6,-11.1,6.0
RBPLJ0045+2127,2457282.6170,0.024,0.006,-0.017,0.005,0.025,0.006,-0.018,0.006,3.1,0.6,-17.8,5.5
RBPLJ0045+2127,2457286.5400,0.010,0.005,-0.001,0.005,0.011,0.005,-0.001,0.005,1.1,0.5,-1.9,14.9
RBPLJ0045+2127,2457305.3946,-0.019,0.005,0.020,0.005,-0.017,0.005,0.021,0.005,2.7,0.5,64.8,5.5
RBPLJ0045+2127,2457311.4307,-0.024,0.005,-0.001,0.005,-0.023,0.005,0.001,0.005,2.3,0.5,89.3,6.5
RBPLJ0045+2127,2457312.4589,-0.016,0.008,-0.004,0.008,-0.015,0.008,-0.003,0.008,1.5,0.8,-84.4,19.6
RBPLJ0045+2127,2457330.3864,0.028,0.004,-0.038,0.004,0.028,0.005,-0.038,0.005,4.8,0.5,-26.8,2.8
RBPLJ0045+2127,2457331.3849,0.031,0.004,-0.020,0.004,0.031,0.004,-0.021,0.004,3.8,0.4,-16.9,3.3
RBPLJ0045+2127,2457332.3738,0.034,0.004,-0.002,0.004,0.036,0.004,-0.003,0.004,3.6,0.4,-2.5,3.5
RBPLJ0045+2127,2457333.4215,0.045,0.004,0.004,0.005,0.047,0.005,0.003,0.005,4.7,0.5,1.6,2.8
RBPLJ0045+2127,2457336.4292,0.039,0.005,-0.005,0.005,0.040,0.005,-0.006,0.005,4.0,0.5,-4.0,3.6
RBPLJ0045+2127,2457337.3927,0.028,0.005,-0.013,0.004,0.029,0.005,-0.014,0.005,3.2,0.5,-12.9,4.3
RBPLJ0045+2127,2457343.3465,0.006,0.004,0.009,0.004,0.007,0.004,0.009,0.004,1.1,0.4,24.6,12.1
RBPLJ0045+2127,2457346.3737,-0.012,0.004,-0.010,0.004,-0.011,0.005,-0.009,0.004,1.4,0.5,-69.3,9.8
RBPLJ0045+2127,2457350.2988,0.018,0.005,-0.007,0.005,0.019,0.006,-0.007,0.006,2.0,0.6,-10.0,8.2
RBPLJ0045+2127,2457596.5376,-0.003,0.006,-0.024,0.006,-0.002,0.007,-0.023,0.006,2.3,0.6,-47.8,7.5
RBPLJ0045+2127,2457597.5325,-0.017,0.005,-0.020,0.005,-0.016,0.006,-0.019,0.005,2.5,0.5,-65.4,6.3
RBPLJ0045+2127,2457598.5354,-0.024,0.007,-0.026,0.005,-0.024,0.007,-0.025,0.006,3.5,0.6,-66.8,5.3
RBPLJ0045+2127,2457599.5046,0.000,0.005,-0.032,0.005,0.000,0.006,-0.032,0.005,3.2,0.5,-44.7,4.5
RBPLJ0045+2127,2457601.5070,-0.024,0.006,-0.040,0.006,-0.024,0.006,-0.038,0.006,4.5,0.6,-61.1,3.8
RBPLJ0045+2127,2457602.4951,-0.031,0.007,-0.027,0.005,-0.031,0.007,-0.026,0.006,4.0,0.6,-70.2,4.7
RBPLJ0045+2127,2457603.4984,-0.047,0.007,-0.023,0.006,-0.046,0.008,-0.021,0.006,5.0,0.7,-78.0,4.3
RBPLJ0045+2127,2457604.5168,-0.034,0.007,-0.023,0.006,-0.034,0.007,-0.021,0.006,4.0,0.7,-73.8,4.8
RBPLJ0045+2127,2457606.5031,-0.037,0.008,-0.012,0.007,-0.036,0.008,-0.010,0.007,3.8,0.8,-82.1,6.0
RBPLJ0045+2127,2457608.5756,-0.032,0.006,-0.012,0.005,-0.031,0.006,-0.010,0.005,3.3,0.6,-81.1,5.5
RBPLJ0045+2127,2457612.5383,-0.037,0.006,-0.033,0.004,-0.037,0.006,-0.032,0.005,4.9,0.5,-69.8,3.2
RBPLJ0045+2127,2457613.5480,-0.037,0.007,-0.047,0.005,-0.037,0.007,-0.045,0.006,5.8,0.6,-64.9,3.0
RBPLJ0045+2127,2457616.5729,-0.018,0.006,-0.046,0.006,-0.018,0.007,-0.045,0.006,4.8,0.6,-56.3,3.8
RBPLJ0045+2127,2457617.5247,-0.016,0.007,-0.039,0.005,-0.017,0.007,-0.038,0.005,4.2,0.6,-56.7,3.9
RBPLJ0045+2127,2457618.5587,-0.008,0.007,-0.044,0.007,-0.008,0.008,-0.043,0.007,4.4,0.7,-50.2,4.9
RBPLJ0045+2127,2457619.5086,0.015,0.009,-0.046,0.006,0.015,0.009,-0.046,0.006,4.8,0.7,-35.8,4.0
RBPLJ0045+2127,2457625.5641,0.003,0.007,0.002,0.007,0.004,0.007,0.002,0.007,0.5,0.7,11.2,46.8
RBPLJ0045+2127,2457628.4287,0.001,0.008,-0.005,0.007,0.002,0.008,-0.004,0.007,0.5,0.7,-32.1,46.7
RBPLJ0045+2127,2457630.5559,-0.036,0.005,-0.011,0.004,-0.035,0.005,-0.009,0.005,3.6,0.5,-82.5,4.0
RBPLJ0045+2127,2457633.5068,-0.027,0.005,-0.008,0.004,-0.026,0.005,-0.006,0.004,2.7,0.5,-83.3,5.8
RBPLJ0102+5824,2456549.5994,-0.052,0.009,-0.066,0.009,-0.053,0.009,-0.063,0.009,8.3,0.9,-64.9,3.1
RBPLJ0102+5824,2456572.5052,-0.082,0.006,-0.017,0.006,-0.081,0.006,-0.013,0.007,8.2,0.6,-85.4,2.2
RBPLJ0102+5824,2456576.6301,-0.032,0.006,-0.080,0.006,-0.034,0.007,-0.078,0.007,8.5,0.7,-56.8,2.3
RBPLJ0102+5824,2456581.4023,-0.048,0.009,-0.027,0.009,-0.047,0.009,-0.025,0.009,5.3,0.9,-76.2,5.1
RBPLJ0102+5824,2456590.5423,0.024,0.010,-0.129,0.010,0.020,0.011,-0.129,0.010,13.0,1.1,-40.5,2.3
RBPLJ0102+5824,2456593.4635,-0.054,0.010,-0.182,0.010,-0.060,0.012,-0.179,0.010,18.9,1.1,-54.2,1.6
RBPLJ0102+5824,2456606.3987,-0.208,0.004,0.023,0.004,-0.206,0.004,0.031,0.009,20.8,0.4,85.7,0.6
RBPLJ0102+5824,2456607.3857,-0.101,0.007,0.043,0.007,-0.098,0.007,0.047,0.008,10.9,0.7,77.3,1.9
RBPLJ0102+5824,2456610.3378,-0.146,0.013,-0.050,0.013,-0.146,0.013,-0.044,0.014,15.2,1.3,-81.7,2.5
RBPLJ0102+5824,2456854.5607,-0.094,0.009,-0.126,0.008,-0.097,0.011,-0.122,0.009,15.6,1.0,-64.3,1.8
RBPLJ0102+5824,2456872.5793,-0.115,0.017,0.083,0.014,-0.110,0.017,0.088,0.015,14.1,1.6,70.7,3.4
RBPLJ0102+5824,2456878.5969,-0.150,0.018,0.035,0.018,-0.147,0.018,0.042,0.019,15.3,1.8,82.1,3.5
RBPLJ0102+5824,2456882.5624,-0.085,0.028,0.048,0.025,-0.082,0.028,0.052,0.025,9.7,2.7,73.8,8.4
RBPLJ0102+5824,2456897.5454,-0.084,0.023,-0.101,0.025,-0.087,0.024,-0.097,0.025,13.0,2.4,-65.9,5.5
RBPLJ0102+5824,2456914.5711,-0.189,0.007,-0.107,0.007,-0.191,0.008,-0.099,0.010,21.5,0.9,-76.3,1.1
RBPLJ0102+5824,2456954.4450,0.087,0.017,0.146,0.017,0.094,0.018,0.142,0.017,17.1,1.8,28.2,3.0
RBPLJ0102+5824,2456980.3246,-0.055,0.021,-0.108,0.019,-0.057,0.022,-0.105,0.019,12.0,2.0,-59.3,4.8
RBPLJ0102+5824,2457350.4337,-0.049,0.014,0.151,0.014,-0.042,0.015,0.153,0.014,15.8,1.4,52.6,2.6
RBPLJ0114+1325,2456524.6176,-0.003,0.004,-0.047,0.004,-0.003,0.005,-0.046,0.004,4.6,0.4,-47.0,2.5
RBPLJ0114+1325,2456526.5409,0.019,0.006,-0.064,0.005,0.018,0.006,-0.064,0.005,6.7,0.5,-37.2,2.2
RBPLJ0114+1325,2456537.5787,-0.065,0.004,-0.051,0.003,-0.065,0.004,-0.048,0.004,8.1,0.4,-71.8,1.6
RBPLJ0114+1325,2456541.5422,-0.008,0.003,-0.037,0.003,-0.008,0.004,-0.036,0.003,3.7,0.3,-51.3,2.4
RBPLJ0114+1325,2456545.6283,-0.005,0.010,-0.068,0.010,-0.006,0.011,-0.068,0.010,6.8,1.0,-47.7,4.2
RBPLJ0114+1325,2456549.5783,-0.010,0.004,-0.058,0.004,-0.011,0.004,-0.057,0.004,5.8,0.4,-50.5,1.9
RBPLJ0114+1325,2456572.4781,-0.052,0.003,0.014,0.003,-0.050,0.003,0.016,0.004,5.3,0.3,81.1,1.8
RBPLJ0114+1325,2456580.4728,-0.052,0.003,-0.016,0.003,-0.051,0.004,-0.013,0.004,5.3,0.4,-82.8,1.9
RBPLJ0114+1325,2456588.4590,-0.058,0.004,-0.042,0.004,-0.058,0.005,-0.040,0.005,7.0,0.5,-72.9,1.9
RBPLJ0114+1325,2456591.5190,-0.030,0.003,-0.040,0.003,-0.031,0.004,-0.038,0.004,4.9,0.4,-64.3,2.1
RBPLJ0114+1325,2456594.4645,-0.040,0.003,-0.011,0.003,-0.039,0.003,-0.009,0.003,4.0,0.3,-83.5,2.4
RBPLJ0114+1325,2456600.3999,-0.089,0.003,-0.051,0.003,-0.090,0.004,-0.047,0.005,10.1,0.4,-76.2,1.1
RBPLJ0114+1325,2456607.4339,-0.081,0.006,-0.059,0.005,-0.081,0.006,-0.055,0.006,9.8,0.6,-73.0,1.9
RBPLJ0114+1325,2456610.3785,-0.031,0.006,-0.126,0.005,-0.034,0.007,-0.124,0.005,12.8,0.5,-52.7,1.2
RBPLJ0114+1325,2456870.6003,0.023,0.004,-0.064,0.004,0.022,0.005,-0.065,0.004,6.8,0.4,-35.8,1.8
RBPLJ0114+1325,2456881.5659,-0.016,0.005,-0.026,0.005,-0.016,0.005,-0.025,0.005,3.0,0.5,-61.0,4.8
RBPLJ0114+1325,2456886.6008,0.009,0.004,-0.068,0.003,0.008,0.005,-0.068,0.003,6.8,0.3,-41.6,1.4
RBPLJ0114+1325,2456898.5125,-0.086,0.003,-0.049,0.003,-0.086,0.004,-0.045,0.005,9.7,0.4,-76.2,1.3
RBPLJ0114+1325,2456902.5310,-0.050,0.004,-0.062,0.003,-0.051,0.005,-0.060,0.004,7.8,0.4,-65.1,1.6
RBPLJ0114+1325,2456914.5830,0.047,0.004,-0.138,0.004,0.043,0.007,-0.139,0.004,14.5,0.5,-36.3,0.9
RBPLJ0114+1325,2456946.4523,0.011,0.004,-0.023,0.003,0.011,0.004,-0.023,0.003,2.6,0.3,-31.9,3.9
RBPLJ0114+1325,2456979.4257,0.032,0.005,-0.039,0.004,0.032,0.005,-0.040,0.004,5.1,0.5,-25.6,2.7
RBPLJ0114+1325,2457237.5816,0.033,0.009,-0.017,0.008,0.034,0.009,-0.018,0.008,3.8,0.9,-14.3,7.2
RBPLJ0114+1325,2457252.5379,-0.003,0.004,-0.014,0.003,-0.002,0.004,-0.014,0.004,1.4,0.4,-49.1,7.8
RBPLJ0114+1325,2457262.5859,-0.021,0.003,-0.044,0.003,-0.021,0.004,-0.042,0.003,4.8,0.3,-58.3,1.9
RBPLJ0114+1325,2457282.4893,-0.002,0.004,-0.053,0.004,-0.002,0.005,-0.052,0.004,5.2,0.4,-46.3,2.2
RBPLJ0114+1325,2457286.5853,-0.047,0.004,-0.040,0.004,-0.047,0.005,-0.037,0.004,6.0,0.4,-70.6,2.1
RBPLJ0114+1325,2457305.4124,0.028,0.004,0.013,0.003,0.030,0.004,0.012,0.003,3.2,0.4,11.1,3.5
RBPLJ0114+1325,2457311.4855,0.044,0.004,-0.017,0.003,0.044,0.004,-0.018,0.004,4.8,0.4,-11.1,2.4
RBPLJ0114+1325,2457312.5095,0.048,0.004,0.001,0.004,0.050,0.004,0.000,0.004,5.0,0.4,-0.0,2.4
RBPLJ0114+1325,2457330.4007,0.055,0.004,0.021,0.004,0.057,0.005,0.019,0.004,6.0,0.5,9.1,2.2
RBPLJ0114+1325,2457331.3986,0.049,0.004,0.028,0.003,0.052,0.004,0.027,0.004,5.8,0.4,13.7,2.1
RBPLJ0114+1325,2457332.3888,0.062,0.004,0.014,0.003,0.064,0.004,0.012,0.004,6.5,0.5,5.3,2.0
RBPLJ0114+1325,2457333.4442,0.053,0.004,0.014,0.003,0.055,0.004,0.013,0.004,5.6,0.4,6.5,2.1
RBPLJ0114+1325,2457335.4300,0.034,0.005,-0.015,0.004,0.035,0.005,-0.016,0.005,3.9,0.5,-12.3,3.8
RBPLJ0114+1325,2457337.4078,0.021,0.004,-0.003,0.003,0.022,0.004,-0.004,0.004,2.3,0.4,-4.6,5.1
RBPLJ0114+1325,2457343.4172,-0.024,0.004,-0.010,0.004,-0.023,0.004,-0.009,0.004,2.5,0.4,-79.8,5.3
RBPLJ0114+1325,2457346.3874,-0.008,0.004,-0.019,0.004,-0.007,0.004,-0.018,0.004,1.9,0.4,-56.0,6.1
RBPLJ0114+1325,2457596.5538,0.079,0.006,0.061,0.005,0.083,0.006,0.058,0.006,10.1,0.6,17.4,1.8
RBPLJ0114+1325,2457597.5450,0.059,0.005,0.081,0.004,0.064,0.006,0.079,0.005,10.1,0.6,25.5,1.6
RBPLJ0114+1325,2457598.5482,0.078,0.005,0.066,0.004,0.082,0.006,0.063,0.006,10.3,0.6,18.7,1.6
RBPLJ0114+1325,2457599.5178,0.081,0.005,0.054,0.004,0.085,0.005,0.051,0.006,9.9,0.6,15.4,1.6
RBPLJ0114+1325,2457601.5238,0.088,0.004,0.047,0.004,0.091,0.005,0.044,0.005,10.1,0.5,12.8,1.4
RBPLJ0114+1325,2457602.5128,0.064,0.005,0.042,0.004,0.067,0.006,0.040,0.005,7.8,0.6,15.2,2.0
RBPLJ0114+1325,2457604.5315,0.079,0.004,0.010,0.004,0.081,0.005,0.008,0.005,8.1,0.5,2.7,1.6
RBPLJ0114+1325,2457606.5173,0.093,0.006,0.012,0.005,0.094,0.006,0.009,0.006,9.5,0.6,2.7,1.8
RBPLJ0114+1325,2457608.6144,0.143,0.007,-0.040,0.006,0.143,0.007,-0.046,0.008,15.0,0.7,-8.8,1.4
RBPLJ0114+1325,2457612.5485,0.084,0.008,0.072,0.007,0.088,0.009,0.069,0.008,11.2,0.8,18.9,2.2
RBPLJ0114+1325,2457613.5623,0.110,0.006,0.074,0.005,0.114,0.007,0.070,0.007,13.4,0.7,15.7,1.4
RBPLJ0114+1325,2457617.5378,0.092,0.005,0.086,0.004,0.097,0.006,0.083,0.006,12.8,0.6,20.3,1.3
RBPLJ0114+1325,2457618.5961,0.102,0.005,0.088,0.003,0.106,0.006,0.084,0.006,13.6,0.6,19.2,1.2
RBPLJ0114+1325,2457619.5309,0.092,0.008,0.086,0.006,0.097,0.009,0.083,0.007,12.7,0.8,20.3,1.8
RBPLJ0114+1325,2457625.6143,0.018,0.015,0.128,0.012,0.025,0.016,0.127,0.012,12.9,1.2,39.5,2.7
RBPLJ0114+1325,2457630.5764,0.021,0.008,0.039,0.006,0.024,0.008,0.038,0.006,4.5,0.7,29.0,4.4
RBPLJ0114+1325,2457631.5388,0.018,0.003,0.031,0.003,0.021,0.004,0.030,0.003,3.7,0.3,27.7,2.5
RBPLJ0114+1325,2457633.5280,0.048,0.003,0.035,0.003,0.051,0.004,0.034,0.004,6.1,0.4,16.8,1.8
RBPLJ0114+1325,2457636.5005,0.049,0.003,0.015,0.003,0.051,0.004,0.013,0.003,5.2,0.4,7.4,2.0
RBPLJ0114+1325,2457637.4751,0.054,0.004,0.013,0.003,0.055,0.004,0.012,0.004,5.7,0.4,5.9,1.9
RBPLJ0114+1325,2457637.5896,0.042,0.005,0.018,0.004,0.044,0.005,0.016,0.004,4.7,0.5,10.2,2.9
RBPLJ0136+3905,2456853.5927,-0.010,0.005,0.039,0.004,-0.007,0.005,0.040,0.005,4.1,0.5,50.1,3.3
RBPLJ0136+3905,2456882.5746,0.008,0.004,-0.011,0.004,0.009,0.004,-0.011,0.004,1.4,0.4,-26.0,7.9
RBPLJ0136+3905,2456902.5427,-0.018,0.004,0.034,0.004,-0.015,0.004,0.035,0.004,3.8,0.4,56.8,3.1
RBPLJ0136+3905,2456914.5608,-0.011,0.003,0.016,0.003,-0.009,0.004,0.016,0.004,1.9,0.4,58.7,5.7
RBPLJ0136+3905,2456941.4912,0.017,0.003,0.002,0.003,0.019,0.004,0.002,0.004,1.9,0.4,2.5,5.6
RBPLJ0136+3905,2457264.5757,0.005,0.002,0.020,0.001,0.007,0.002,0.020,0.002,2.1,0.2,35.6,2.5
RBPLJ0136+3905,2457336.4624,-0.014,0.001,-0.007,0.001,-0.013,0.002,-0.006,0.002,1.4,0.2,-76.6,3.9
